regiao,eixo,categoria,n,evadidos,taxa_evasao_pct,taxa_evasao_geral_regiao_pct,excesso_pp,n_min_ok
12ª Região - PB,uti_flag,False,9620,6679,69.4,71.8,-2.3,True
12ª Região - PB,uti_flag,True,800,800,100.0,71.8,28.2,True
13ª Região - PB,uti_flag,False,3807,1189,31.2,34.5,-3.3,True
13ª Região - PB,uti_flag,True,470,286,60.9,34.5,26.4,True
14ª Região - PB,uti_flag,False,9337,4678,50.1,52.0,-1.9,True
14ª Região - PB,uti_flag,True,758,571,75.3,52.0,23.3,True
15ª Região - PB,uti_flag,False,8827,6113,69.3,71.6,-2.3,True
15ª Região - PB,uti_flag,True,713,713,100.0,71.6,28.4,True
16ª Região - PB,uti_flag,False,38361,1487,3.9,4.1,-0.3,True
16ª Região - PB,uti_flag,True,3944,266,6.7,4.1,2.6,True
1ª Região Mata Atlântica - PB,uti_flag,False,73657,1358,1.8,1.8,0.1,True
1ª Região Mata Atlântica - PB,uti_flag,True,7917,75,0.9,1.8,-0.8,True
2ª Região - PB,uti_flag,False,15260,7909,51.8,54.4,-2.5,True
2ª Região - PB,uti_flag,True,1271,1077,84.7,54.4,30.4,True
3ª Região - PB,uti_flag,False,9858,8186,83.0,84.5,-1.5,True
3ª Região - PB,uti_flag,True,957,957,100.0,84.5,15.5,True
4ª Região - PB,uti_flag,False,6672,3460,51.9,54.2,-2.4,True
4ª Região - PB,uti_flag,True,403,377,93.5,54.2,39.3,True
5ª Região - PB,uti_flag,False,7840,3125,39.9,42.5,-2.6,True
5ª Região - PB,uti_flag,True,618,467,75.6,42.5,33.1,True
6ª Região - PB,uti_flag,False,12833,3064,23.9,24.3,-0.5,True
6ª Região - PB,uti_flag,True,1440,410,28.5,24.3,4.1,True
7ª Região - PB,uti_flag,False,8137,4404,54.1,56.4,-2.3,True
7ª Região - PB,uti_flag,True,782,625,79.9,56.4,23.5,True
8ª Região - PB,uti_flag,False,6839,2054,30.0,33.5,-3.5,True
8ª Região - PB,uti_flag,True,753,490,65.1,33.5,31.6,True
9ª Região - PB,uti_flag,False,12568,2240,17.8,21.6,-3.8,True
9ª Região - PB,uti_flag,True,817,652,79.8,21.6,58.2,True
